,NMPC,SNMPC,"disturbed
NMPC","disturbed
SNMPC"
Maximum [ms],2.323,12.212,1.787,11.995000000000001
Mean [ms],1.0258176666666665,6.177614666666667,1.0190895000000002,6.096904333333334
