4.7,1.2,11.9,5.9,276.6,630.2,1555.4
5.8,3.2,23.1,5.5,350.2,1295.4,1984.0
5.9,2.5,28.4,5.4,394.4,1952.9,1085.6
5.6,1.5,25.2,5.6,363.4,1135.5,713.5
4.4,0.1,18.7,3.6,302.7,874.9,609.1
4.9,2.6,2.6,5.7,353.9,556.4,1469.8
4.5,0.8,13.7,4.2,335.5,645.8,1017.0
3.6,2.3,1.0,5.4,222.1,1641.8,1166.2
4.9,0.2,10.9,5.7,271.8,748.6,1848.3
4.5,0.4,18.8,5.8,252.4,581.6,536.4
3.3,1.0,3.1,3.1,235.6,1674.5,1995.2
3.9,0.1,19.4,3.2,280.5,1012.9,1096.2
2.3,0.5,18.3,3.0,317.0,1229.6,1447.5
2.0,0.4,1.6,4.4,170.6,1706.6,688.4
4.4,0.0,16.9,4.1,329.1,700.3,531.3
5.0,1.5,10.4,5.3,359.2,1696.0,1922.1
3.0,0.1,4.1,4.6,185.8,1604.6,639.3
4.8,0.2,16.2,4.2,348.1,1813.8,1753.7
4.5,0.4,24.5,3.2,354.7,1593.4,549.8
4.7,2.8,26.9,3.4,395.3,821.8,1233.3
5.1,1.4,27.9,4.0,366.3,1248.9,813.8
5.5,0.3,15.2,5.7,307.3,1420.4,1535.4
4.8,0.5,16.8,5.0,264.9,1857.4,1719.2
5.4,3.6,30.0,3.9,375.3,1190.7,1756.1
3.2,0.1,9.0,3.9,203.2,906.1,1029.0
3.3,1.1,23.3,3.4,299.9,1095.0,1213.9
