4.8,0.2,16.2,4.2,348.1,1813.8,1753.7
4.7,1.2,11.9,5.9,276.6,630.2,1555.4
4.5,0.4,24.5,3.2,354.7,1593.4,549.8
5.9,2.5,28.4,5.4,394.4,1952.9,1085.6
2.3,0.5,18.3,3.0,317.0,1229.6,1447.5
2.0,0.4,1.6,4.4,170.6,1706.6,688.4
4.4,0.0,16.9,4.1,329.1,700.3,531.3
3.3,1.1,23.3,3.4,299.9,1095.0,1213.9
4.4,0.1,18.7,3.6,302.7,874.9,609.1
4.9,2.6,2.6,5.7,353.9,556.4,1469.8
5.0,1.5,10.4,5.3,359.2,1696.0,1922.1
4.5,0.8,13.7,4.2,335.5,645.8,1017.0
3.6,2.3,1.0,5.4,222.1,1641.8,1166.2
3.2,0.1,9.0,3.9,203.2,906.1,1029.0
3.0,0.1,4.1,4.6,185.8,1604.6,639.3
